ID,ESN,MTH,DAY,HR_GMT,MIN,YEARDAY,LON,LAT,DEPTH
246400711,4536410,6,10,22,17,161.9284722,-70.42122,41.08111,-1
246400711,4536410,6,10,23,35,161.9826389,-70.43206,41.08079,-1
246400711,4536410,6,11,0,22,162.0152778,-70.43809,41.08118,-1
246400711,4536410,6,11,1,20,162.0555556,-70.44107,41.08263,-1
246400711,4536410,6,11,0,22,162.0152778,-70.43809,41.08118,-1
246400711,4536410,6,11,1,20,162.0555556,-70.44107,41.08263,-1
246400711,4536410,6,11,2,24,162.1,-70.44013,41.08457,-1
246400711,4536410,6,11,3,23,162.1409722,-70.43339,41.0866,-1
246400711,4536410,6,11,2,24,162.1,-70.44013,41.08457,-1
246400711,4536410,6,11,3,23,162.1409722,-70.43339,41.0866,-1
246400711,4536410,6,11,4,21,162.18125,-70.42624,41.08699,-1
246400711,4536410,6,11,5,16,162.2194444,-70.41678,41.08514,-1
246400711,4536410,6,11,4,21,162.18125,-70.42624,41.08699,-1
246400711,4536410,6,11,5,16,162.2194444,-70.41678,41.08514,-1
246400711,4536410,6,11,6,12,162.2583333,-70.40738,41.08078,-1
246400711,4536410,6,11,7,11,162.2993056,-70.39936,41.07313,-1
246400711,4536410,6,11,8,7,162.3381944,-70.39938,41.06412,-1
246400711,4536410,6,11,6,12,162.2583333,-70.40738,41.08078,-1
246400711,4536410,6,11,7,11,162.2993056,-70.39936,41.07313,-1
246400711,4536410,6,11,8,7,162.3381944,-70.39938,41.06412,-1
246400711,4536410,6,11,9,8,162.3805556,-70.40968,41.05437,-1
246400711,4536410,6,11,10,5,162.4201389,-70.42448,41.04482,-1
246400711,4536410,6,11,9,8,162.3805556,-70.40968,41.05437,-1
246400711,4536410,6,11,10,5,162.4201389,-70.42448,41.04482,-1
246400711,4536410,6,11,11,2,162.4597222,-70.44369,41.03617,-1
246400711,4536410,6,11,11,2,162.4597222,-70.44369,41.03617,-1
246400711,4536410,6,11,12,12,162.5083333,-70.47066,41.02902,-1
246400711,4536410,6,11,13,8,162.5472222,-70.49253,41.02615,-1
246400711,4536410,6,11,12,12,162.5083333,-70.47066,41.02902,-1
246400711,4536410,6,11,13,8,162.5472222,-70.49253,41.02615,-1
246400711,4536410,6,11,14,14,162.5930556,-70.51523,41.02787,-1
246400711,4536410,6,11,15,19,162.6381944,-70.53244,41.03143,-1
246400711,4536410,6,11,14,14,162.5930556,-70.51523,41.02787,-1
246400711,4536410,6,11,15,19,162.6381944,-70.53244,41.03143,-1
246400711,4536410,6,11,16,10,162.6736111,-70.54347,41.03548,-1
246400711,4536410,6,11,17,21,162.7229167,-70.55447,41.04219,-1
246400711,4536410,6,11,18,8,162.7555556,-70.55786,41.05089,-1
246400711,4536410,6,11,16,10,162.6736111,-70.54347,41.03548,-1
246400711,4536410,6,11,17,21,162.7229167,-70.55447,41.04219,-1
246400711,4536410,6,11,18,8,162.7555556,-70.55786,41.05089,-1
246400711,4536410,6,11,19,6,162.7958333,-70.55404,41.05952,-1
246400711,4536410,6,11,19,6,162.7958333,-70.55404,41.05952,-1
246400711,4536410,6,11,20,13,162.8423611,-70.54658,41.06565,-1
246400711,4536410,6,11,21,18,162.8875,-70.53437,41.06643,-1
246400711,4536410,6,11,22,9,162.9229167,-70.52297,41.06494,-1
246400711,4536410,6,11,20,13,162.8423611,-70.54658,41.06565,-1
246400711,4536410,6,11,21,18,162.8875,-70.53437,41.06643,-1
246400711,4536410,6,11,22,9,162.9229167,-70.52297,41.06494,-1
246400711,4536410,6,11,23,6,162.9625,-70.51821,41.06183,-1
246400711,4536410,6,12,0,10,163.0069444,-70.51671,41.05687,-1
246400711,4536410,6,11,23,6,162.9625,-70.51821,41.06183,-1
246400711,4536410,6,12,0,10,163.0069444,-70.51671,41.05687,-1
246400711,4536410,6,12,1,7,163.0465278,-70.51643,41.05111,-1
246400711,4536410,6,12,1,7,163.0465278,-70.51643,41.05111,-1
246400711,4536410,6,12,2,15,163.09375,-70.5181,41.04377,-1
246400711,4536410,6,12,3,22,163.1402778,-70.52177,41.03607,-1
246400711,4536410,6,12,2,15,163.09375,-70.5181,41.04377,-1
246400711,4536410,6,12,3,22,163.1402778,-70.52177,41.03607,-1
246400711,4536410,6,12,4,23,163.1826389,-70.52662,41.02921,-1
246400711,4536410,6,12,5,24,163.225,-70.53196,41.02476,-1
246400711,4536410,6,12,4,23,163.1826389,-70.52662,41.02921,-1
246400711,4536410,6,12,5,24,163.225,-70.53196,41.02476,-1
246400711,4536410,6,12,6,29,163.2701389,-70.53941,41.02176,-1
246400711,4536410,6,12,7,33,163.3145833,-70.5478,41.02201,-1
246400711,4536410,6,12,6,29,163.2701389,-70.53941,41.02176,-1
246400711,4536410,6,12,7,33,163.3145833,-70.5478,41.02201,-1
246400711,4536410,6,12,8,35,163.3576389,-70.55546,41.02353,-1
246400711,4536410,6,12,9,34,163.3986111,-70.56522,41.02577,-1
246400711,4536410,6,12,8,35,163.3576389,-70.55546,41.02353,-1
246400711,4536410,6,12,9,34,163.3986111,-70.56522,41.02577,-1
246400711,4536410,6,12,10,29,163.4368056,-70.57683,41.02858,-1
246400711,4536410,6,12,11,31,163.4798611,-70.58859,41.03356,-1
246400711,4536410,6,12,10,29,163.4368056,-70.57683,41.02858,-1
246400711,4536410,6,12,11,31,163.4798611,-70.58859,41.03356,-1
246400711,4536410,6,12,12,29,163.5201389,-70.59861,41.03921,-1
